"geoid","geolevel","year","education_score","education_rnk","education_state_rnk"
"05000US17097","county","2019","135.3","95.0128","96.0396"
"05000US17099","county","2019","100.66","53.8043","42.5743"
"05000US17101","county","2019","83.51","18.766","3.9604"
"05000US17103","county","2019","104.2","61.413","52.4752"
"05000US17105","county","2019","96.47","43.9578","30.6931"
"05000US17107","county","2019","102.9","58.8235","47.5248"
"05000US17109","county","2019","133.23","93.9578","95.0495"
"05000US17111","county","2019","128.79","91.4003","90.099"
"05000US17113","county","2019","142.27","97.1547","97.0297"
"05000US17115","county","2019","108.2","69.7251","67.3267"
"05000US17117","county","2019","107.57","68.3824","65.3465"
"05000US17119","county","2019","122.22","87.532","87.1287"
"05000US17121","county","2019","95.36","41.3043","24.7525"
"05000US17123","county","2019","104.36","61.7647","53.4653"
"05000US17125","county","2019","95.96","42.8389","27.7228"
"05000US17127","county","2019","93.67","37.6598","18.8119"
"05000US17129","county","2019","112.43","76.3427","76.2376"
"05000US17131","county","2019","104.48","62.0844","54.4554"
"05000US17133","county","2019","131.91","93.0946","94.0594"
"05000US17135","county","2019","96.91","44.7251","32.1782"
"05000US17137","county","2019","109.03","71.5473","69.3069"
"05000US17139","county","2019","86.06","23.2737","7.9208"
"05000US17141","county","2019","105.96","65.3772","60.396"
"05000US17143","county","2019","121.36","86.8606","85.1485"
"05000US17145","county","2019","83.01","17.9348","2.9703"
"05000US17147","county","2019","117.86","83.4079","82.1782"
"05000US17149","county","2019","94.31","39.0985","21.7822"
"05000US17151","county","2019","79.8","13.7468","0.9901"
"05000US17153","county","2019","88","27.1419","9.901"
"05000US17155","county","2019","99.93","52.046","40.5941"
"05000US17157","county","2019","96.29","43.5102","29.703"
"05000US17159","county","2019","101.68","56.202","43.5644"
"05000US17161","county","2019","105.05","63.4271","55.4455"
"05000US17163","county","2019","120.65","86.2852","84.1584"
"05000US17165","county","2019","93.17","36.1893","15.8416"
"05000US17167","county","2019","126.32","89.7698","88.1188"
"05000US17169","county","2019","92.3","34.6228","13.8614"
"05000US17171","county","2019","105.44","64.3862","58.4158"
"05000US17173","county","2019","102.25","57.7366","45.5446"
"05000US17175","county","2019","99.41","50.4795","38.6139"
"05000US17177","county","2019","102.8","58.7916","46.5347"
"05000US17179","county","2019","118.34","83.8875","83.1683"
"05000US17181","county","2019","93.41","36.9885","16.8317"
"05000US17183","county","2019","98.01","46.9629","33.6634"
"05000US17185","county","2019","101.77","56.6176","44.5545"
"05000US17187","county","2019","102.91","58.8875","48.5149"
"05000US17189","county","2019","111.17","74.7123","73.2673"
"05000US17191","county","2019","87.58","26.1829","8.9109"
"05000US17193","county","2019","95.45","41.5601","25.7426"
"05000US17195","county","2019","98.84","48.977","36.6337"
